teamId,season,teamName,teamAbbreviation,conferenceAbbreviation,divisionName
14,2011,New Jersey Devils,NJD,E,Atlantic
74,2011,New York Islanders,NYI,E,Atlantic
134,2011,New York Rangers,NYR,E,Atlantic
194,2011,Philadelphia Flyers,PHI,E,Atlantic
254,2011,Pittsburgh Penguins,PIT,E,Atlantic
314,2011,Boston Bruins,BOS,E,Northeast
374,2011,Buffalo Sabres,BUF,E,Northeast
434,2011,Montréal Canadiens,MTL,E,Northeast
494,2011,Ottawa Senators,OTT,E,Northeast
554,2011,Toronto Maple Leafs,TOR,E,Northeast
614,2011,Atlanta Thrashers,ATL,E,Southeast
674,2011,Carolina Hurricanes,CAR,E,Southeast
734,2011,Florida Panthers,FLA,E,Southeast
794,2011,Tampa Bay Lightning,TBL,E,Southeast
854,2011,Washington Capitals,WSH,E,Southeast
914,2011,Chicago Blackhawks,CHI,W,Central
974,2011,Detroit Red Wings,DET,W,Central
1034,2011,Nashville Predators,NSH,W,Central
1094,2011,St. Louis Blues,STL,W,Central
1154,2011,Calgary Flames,CGY,W,Northwest
1214,2011,Colorado Avalanche,COL,W,Northwest
1274,2011,Edmonton Oilers,EDM,W,Northwest
1334,2011,Vancouver Canucks,VAN,W,Northwest
1394,2011,Anaheim Ducks,ANA,W,Pacific
1454,2011,Dallas Stars,DAL,W,Pacific
1514,2011,Los Angeles Kings,LAK,W,Pacific
1574,2011,Phoenix Coyotes,ARI,W,Pacific
1634,2011,San Jose Sharks,SJS,W,Pacific
1694,2011,Columbus Blue Jackets,CBJ,W,Central
1754,2011,Minnesota Wild,MIN,W,Northwest
3074,2011,Winnipeg Jets,WPG,E,Southeast
14,2010,New Jersey Devils,NJD,E,Atlantic
74,2010,New York Islanders,NYI,E,Atlantic
134,2010,New York Rangers,NYR,E,Atlantic
194,2010,Philadelphia Flyers,PHI,E,Atlantic
254,2010,Pittsburgh Penguins,PIT,E,Atlantic
314,2010,Boston Bruins,BOS,E,Northeast
374,2010,Buffalo Sabres,BUF,E,Northeast
434,2010,Montréal Canadiens,MTL,E,Northeast
494,2010,Ottawa Senators,OTT,E,Northeast
554,2010,Toronto Maple Leafs,TOR,E,Northeast
614,2010,Atlanta Thrashers,ATL,E,Southeast
674,2010,Carolina Hurricanes,CAR,E,Southeast
734,2010,Florida Panthers,FLA,E,Southeast
794,2010,Tampa Bay Lightning,TBL,E,Southeast
854,2010,Washington Capitals,WSH,E,Southeast
914,2010,Chicago Blackhawks,CHI,W,Central
974,2010,Detroit Red Wings,DET,W,Central
1034,2010,Nashville Predators,NSH,W,Central
1094,2010,St. Louis Blues,STL,W,Central
1154,2010,Calgary Flames,CGY,W,Northwest
1214,2010,Colorado Avalanche,COL,W,Northwest
1274,2010,Edmonton Oilers,EDM,W,Northwest
1334,2010,Vancouver Canucks,VAN,W,Northwest
1394,2010,Anaheim Ducks,ANA,W,Pacific
1454,2010,Dallas Stars,DAL,W,Pacific
1514,2010,Los Angeles Kings,LAK,W,Pacific
1574,2010,Phoenix Coyotes,ARI,W,Pacific
1634,2010,San Jose Sharks,SJS,W,Pacific
1694,2010,Columbus Blue Jackets,CBJ,W,Central
1754,2010,Minnesota Wild,MIN,W,Northwest
14,2009,New Jersey Devils,NJD,E,Atlantic
74,2009,New York Islanders,NYI,E,Atlantic
134,2009,New York Rangers,NYR,E,Atlantic
194,2009,Philadelphia Flyers,PHI,E,Atlantic
254,2009,Pittsburgh Penguins,PIT,E,Atlantic
314,2009,Boston Bruins,BOS,E,Northeast
374,2009,Buffalo Sabres,BUF,E,Northeast
434,2009,Montréal Canadiens,MTL,E,Northeast
494,2009,Ottawa Senators,OTT,E,Northeast
554,2009,Toronto Maple Leafs,TOR,E,Northeast
614,2009,Atlanta Thrashers,ATL,E,Southeast
674,2009,Carolina Hurricanes,CAR,E,Southeast
734,2009,Florida Panthers,FLA,E,Southeast
794,2009,Tampa Bay Lightning,TBL,E,Southeast
854,2009,Washington Capitals,WSH,E,Southeast
914,2009,Chicago Blackhawks,CHI,W,Central
974,2009,Detroit Red Wings,DET,W,Central
1034,2009,Nashville Predators,NSH,W,Central
1094,2009,St. Louis Blues,STL,W,Central
1154,2009,Calgary Flames,CGY,W,Northwest
1214,2009,Colorado Avalanche,COL,W,Northwest
1274,2009,Edmonton Oilers,EDM,W,Northwest
1334,2009,Vancouver Canucks,VAN,W,Northwest
1394,2009,Anaheim Ducks,ANA,W,Pacific
1454,2009,Dallas Stars,DAL,W,Pacific
1514,2009,Los Angeles Kings,LAK,W,Pacific
1574,2009,Phoenix Coyotes,ARI,W,Pacific
1634,2009,San Jose Sharks,SJS,W,Pacific
1694,2009,Columbus Blue Jackets,CBJ,W,Central
1754,2009,Minnesota Wild,MIN,W,Northwest
14,2008,New Jersey Devils,NJD,E,Atlantic
74,2008,New York Islanders,NYI,E,Atlantic
134,2008,New York Rangers,NYR,E,Atlantic
194,2008,Philadelphia Flyers,PHI,E,Atlantic
254,2008,Pittsburgh Penguins,PIT,E,Atlantic
314,2008,Boston Bruins,BOS,E,Northeast
374,2008,Buffalo Sabres,BUF,E,Northeast
434,2008,Montréal Canadiens,MTL,E,Northeast
494,2008,Ottawa Senators,OTT,E,Northeast
554,2008,Toronto Maple Leafs,TOR,E,Northeast
614,2008,Atlanta Thrashers,ATL,E,Southeast
674,2008,Carolina Hurricanes,CAR,E,Southeast
734,2008,Florida Panthers,FLA,E,Southeast
794,2008,Tampa Bay Lightning,TBL,E,Southeast
854,2008,Washington Capitals,WSH,E,Southeast
914,2008,Chicago Blackhawks,CHI,W,Central
974,2008,Detroit Red Wings,DET,W,Central
1034,2008,Nashville Predators,NSH,W,Central
1094,2008,St. Louis Blues,STL,W,Central
1154,2008,Calgary Flames,CGY,W,Northwest
1214,2008,Colorado Avalanche,COL,W,Northwest
1274,2008,Edmonton Oilers,EDM,W,Northwest
1334,2008,Vancouver Canucks,VAN,W,Northwest
1394,2008,Anaheim Ducks,ANA,W,Pacific
1454,2008,Dallas Stars,DAL,W,Pacific
1514,2008,Los Angeles Kings,LAK,W,Pacific
